name,name_location,link,price,price_per_sqft,area,area_type,bedroom,bathroom,description,super_builtup,built_up,carpet_area,config_bedroom,config_bathroom,balcony,additional_rooms,price_text,floor,facing,overlooking,age,address,society,furnish_type,property_id,nearby_locations,furnish_details,features,rating,rating_list,status,Unnamed: 0
Qualitas Extencia,"1 BHK House for sale in Sector 17 Ulwe, Navi Mumbai",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-qualitas-extencia-sector-17-ulwe-navi-mumbai-359-sq-ft-spid-L81718330,₹50 Lac,"₹13,927 /sqft",359 sqft,Carpet Area,1 BHK,1  Bath,"Property is on hight, clean view of ulwe from balcony other building hights are short than our flat balcony, amazing wind flow to flat from balconies.
Wider road, near by market, walking distance from kharkoper railway station.",,,359.0,1 Bedroom,1 Bathroom,3 Balconies,,50 Lac,7th   of 7 Floors,East,,5 to 10 Year Old,"Qualitas Extencia Sector 17 Ulwe, Navi Mumbai",Qualitas Extencia,Unfurnished,L81718330,"['Nerul Sector NMMT Bus Depot', 'Kharkopar railway station', 'Baman-dongri railway station', 'Baman-dongri railway station']",[],"['Lift(s)', 'Shopping Centre']",4.1,"{'Environment': 4.1, 'Lifestyle': 4.2, 'Connectivity': 4.2, 'Safety': 4.1}",Ready To Move,
Rizvi Victory House,"2 BHK House for sale in Mahim West, Mumbai",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-rizvi-victory-house-mahim-west-south-mumbai-712-sq-ft-r1-spid-J77949511,₹3.6 Cr,"₹50,561 /sqft",712 sqft,Carpet Area,2 BHK,2  Baths,"Looking for a 2 bhk property for sale in mumbai south? Buy this 2 bhk flat in rizvi victory house that is situated in mahim west, mumbai south. This is a west-Facing property. Containing 2 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a carpet area of 712 sq.Ft. This flat is situated on the 13th floor of this 15 floors tall residential building. An added advantage of this 10+ ...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
Delta Palm Beach,"4 BHK House for sale in Nerul, Navi Mumbai",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-delta-palm-beach-nerul-navi-mumbai-3075-sq-ft-spid-L81702510,₹4.1 Cr,"₹13,333 /sqft","3,075 sqft",Super Built-up Area,4 BHK,4  Baths,"This beautiful 4 bhk flat in nerul, navi mumbai is situated in delta palm beach, one of the popular residential society in navi mumbai. The flat is east-Facing. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and more than 3 balconies. All in all, the flat is spread over a super built up area of 3075 sq.Ft. The flat has a total of 16 floors and this property is situated on 14th f...",,,,,,,,,,,,,,,,,[],[],[],,{},Under Construction,
Oberoi Sky Heights,"4 BHK House for sale in Lokhandwala Andheri West, Mumbai",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-oberoi-sky-heights-lokhandwala-andheri-west-mumbai-andheri-dahisar-2850-sq-ft-r1-spid-L78971009,₹16 Cr,"₹56,140 /sqft","2,850 sqft",Built-up Area,4 BHK,4  Baths,"Check out this 4 bhk apartment for sale in oberoi sky heights, a popular residential project that houses in-Demand flats in lokhandwala andheri west, western mumbai. The flat is west-Facing. The flat occupies a built up area of 2850 sq.Ft. That consists of 4 bedrooms, 4 bathrooms . This flat is situated on the 30th floor of this 36 floors tall residential building. This is a ready to move proje...",,2850.0,2300.0,4 Bedrooms,4 Bathrooms,No Balcony,"Pooja Room,Study Room,Servant Room,Store Room",16 Crore,2nd   of 20 Floors,West,"Pool,Park/Garden,Club,Main Road",5 to 10 Year Old,"Oberoi Sky Heights Lokhandwala Andheri West, Mumbai",Oberoi Sky Heights,Semifurnished,L78971009,"['Versova', 'Infiniti Mall', 'Citi Mall', 'Crystal Mall', 'Lokhandwala Market Road', 'Western Express Highway', 'St Mary High School', 'Jankidevi Public School', 'Versova Beach', 'Yash Raj Films']","['3 Wardrobe', '1 Water Purifier', '1 Fridge', '1 Dining Table', '1 Washing Machine', '4 Light', '3 AC', '3 TV', '1 Modular Kitchen']","['Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",4.5,"{'Environment': 4.4, 'Lifestyle': 4.6, 'Connectivity': 4.4, 'Safety': 4.4}",Ready To Move,
"Karjat, Thane, Thane Outskirts","4 Bedroom House for sale in Karjat, Thane",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-karjat-mumbai-beyond-thane-5450-sq-ft-r8-spid-F71721386,₹2.3 Cr,"₹4,220 /sqft","5,450 sqft",Plot Area,4 BHK,5  Baths,"Mountain view 4bhk bungalow on 5450 sqft na plot for sale in karjat. Good rental income 4bhk bungalow Plot area : 5450sqft Status : Na (Non agriculture) Ownership : Resale Zone : Residential Fsi : 1:1 Electricity : Available Water : Available Priavate swimming pool Fencing : Wall compound with gate. Rate : 2.30 cr negotiable Landmark : Beyond radisson blu resort karjat, near kondhana caves Suit...",,,,4 Bedrooms,5 Bathrooms,3 Balconies,Servant Room,2.3 Crore,2 Floors,North-West,Others,1 to 5 Year Old,"Karjat, Thane",,Furnished,F71721386,"['Dr. Sabale Orthopaedic Hospital', 'Mayur Clinic Sabne Hospital', 'Dr. Manali Clinic', 'SDH', 'Dr. Nazirkar Shree Narayan Hospital', 'Dr. Sonavane Hospital', ""Dr. Chavan's Sonography Clinic"", 'Deshmukh Children Hospital', 'Shri Rajendra Clinic', 'State bank of india', 'KGCE Canteen', 'Dattakrupa Snacks Corner', 'khairat primary school', 'Karjat railway station']","['1 Water Purifier', '7 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '5 Geyser', '1 Stove', '30 Light', '5 AC', '1 Chimney', '10 Curtains', '1 Modular Kitchen', '1 TV', '4 Wardrobe', '1 Sofa', '1 Microwave', '1 Washing Machine']","['Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Waste Disposal', 'Rain Water Harvesting']",3.9,"{'Environment': 4.2, 'Lifestyle': 3.7, 'Connectivity': 4.0, 'Safety': 3.9}",Ready To Move,
off Bandstand Rd,"1 BHK House for sale in Bandra West, Mumbai",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-bandra-west-western-mumbai-500-sq-ft-spid-J81693186,₹4 Cr,"₹80,000 /sqft",500 sqft,Carpet Area,1 BHK,1  Bath,"Spacious, ready to move in luxury 1 bhk apartment for sale in a very well maintained building located in a posh area at mount mary, bandra west.It is a bright and breezy apartment on the middle floor with sea views and lots of natural light throughout the day. It has 1 reserved car parking space. Building has a round the clock security with intercom and cameras, lobby area, high speed elevators...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
Dream Enclave,"1 BHK House for sale in Badlapur West, Thane",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-badlapur-west-mumbai-beyond-thane-670-sq-ft-spid-F80446935,₹28 Lac,"₹4,179 /sqft",670 sqft,Built-up Area,1 BHK,1  Bath,"Lotus dream enclave Rera no. Pphone_number Project at just 5-8 mins from badlapur station *1bhk, 2bhk semi-Furnished Booking amount 21000/- Facilities False ceiling Lift with power backup Cctv camera & wi-Fi zone Water & open free parking & security guards Location advantages near d-Mart, schools, collages, hospitals, banks, supermarkets. Address:- Near cinderella english school & jr college, b...",,670.0,450.0,1 Bedroom,1 Bathroom,2 Balconies,Servant Room,28 Lac,10th   of 12 Floors,East,"Park/Garden,Club,Main Road,Others",0 to 1 Year Old,"Dream Enclave Badlapur West, Thane",,,F80446935,"['Hanuman Mandir', 'Datta Mandir', 'Mahalaxmi Mandir', 'Swami Samarth Math', 'Mahakali Mandir', 'Ambamata Mandir', 'Saibaba Mandir', 'Ganapti Mandir', 'Ganesh Mandir', 'Ram Maruti Mandir', 'Union bank of india ATM', 'Sbi ATM', 'Hdfc bank ATM', 'Bank of baroda ATM', 'Newlife Hospital & Maternity Home', 'Sai Krupa Hospital', 'Spandan Hospital', 'Ashka Hospital', 'Ashwini Charitable Trust Hospital', 'Aashirwad Hospital', 'Mamata Hospital.', ""Deshmukh Children's Hospital"", 'Dube Hospital', 'Vatsalya Maternity and Surgical Hospital', 'Rathod Hospital and Ccu', ""Sparsh Children's Hospital"", 'Maxcare Multispeciality Hospital', 'Sfurti Multispeciality Hospital', 'Urmi Eye Clinic and Phaco Centre', 'Dhanvantari Hospitals Pvt.Ltd.', 'Dristhi Eye Hospital', 'Matrix Hospital', 'Apollo Pharmacy', 'Guardian Pharmacy', 'Hdfc bank', 'Bank of india', 'Kotak mahindra bank', 'Bank of maharashtra', 'Canera bank', 'Dns bank', 'Vaishali Talkies', 'Monalisa', 'Hotel Gurudev', 'Navaratna', 'Hotel Ambika', 'Matoshree Hotel', 'scc', 'Hotel Atithi', 'Badlapur railway station', 'Grantha sakha. library']",[],"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",4.2,"{'Environment': 4.2, 'Lifestyle': 4.2, 'Connectivity': 4.3, 'Safety': 4.2}",Ready To Move,
On request,"3 BHK House for sale in Juhu Tara, Mumbai",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-juhu-tara-western-mumbai-1731-sq-ft-spid-F80620879,₹7.5 Cr,"₹43,327 /sqft","1,731 sqft",Super Built-up Area,3 BHK,3  Baths,"Situated in juhu tara, western mumbai, on request is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in western mumbai is your opportunity to be a part of this community. This residential flat is east-Facing direction. The flat is over 1731 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms . This flat is situated on the 3rd flo...",1731.0,1385.0,1154.0,3 Bedrooms,3 Bathrooms,No Balcony,,7.5 Crore,3rd   of 10 Floors,East,Main Road,5 to 10 Year Old,"On request Juhu Tara, Mumbai",,Furnished,F80620879,"['Khar metro station', 'Juhu Church', 'Dr.Daftarys Total Care Clinic', 'The Vission Eye Centre', 'Sunridges Speciality Hospital', 'Sunflower Nursing Home Mumbai', 'Lotus Eye Hospital', 'Dr Sanjay Soni Dental Clinic', 'Iris Eye Center', 'Khandwala Eye Hospital and Polyclinic', 'Shruti Clinic', 'Bharatiya Arogyanidhi Hospital', 'Indian Oil', 'Axis bank', 'Kotak mahindra bank', 'Union bank of india', 'Bank of india', 'Prithvi Theatre', 'Starbucks', 'Shiv Sagar', 'Guru Saagar', 'Bora Bora', 'Mahalakshmi', 'Radhe Krishna', 'Sai Kalyan Pav Bhaji & Chinese', 'Arun Fast Food Centre', 'Rangeela Rajasthan Fast Food', 'Rajasthan Pav Bhaji', 'Shiv Shankar Bhel Puri & Chat Centre', 'Shree Siddhivinayak Fast Food', 'Shree Ram Pav Bhaji', ""Domino's Pizzas"", 'Sagar Vada Pav & Tea', 'Mumbai Fun In', 'Mahesh Lunch Home', 'Kitchen Garden', 'Poetry', 'Prithvi Cafe', 'Don Giovanni', ""Alfredo's"", 'Riverside Rose', 'NMIMS canteen', 'anand dosa center', 'Facing East', 'Penne', 'Cafe Coffee Day', 'Jamnabai Narsee School', 'NMIMS', 'Mithibai College', 'Dwarkadas J Sanghvi College of Engineering']","['3 Bed', '3 Wardrobe', '5 Fan', '1 Sofa', '1 Dining Table', '5 Light', '1 Modular Kitchen', '1 Chimney']","['Lift(s)', 'Maintenance Staff', 'Waste Disposal']",,{},Ready To Move,
Kalyan Residency,"1 BHK House for sale in Kalyan West, Thane",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-kalyan-residency-kalyan-west-mumbai-beyond-thane-384-sq-ft-npspid-C81415943,₹30.99 Lac,"₹8,070 /sqft",384 sqft,Carpet Area,1 BHK,,"Experience a new style of living with Kalyan Residency. It offers an exclusive range of 1 BHK apartments in Kalyan West, Thane Outskirts. Here is a steal deal for you. Book your 1 BHK apartment here at a never before price of Rs. 30.99 Lac. The unit has a carpet area of 384.0 sq. ft. This is an under construction project. It has been designed keeping every small to large needs of residents in c...",,,,,,,,,,,,,,,,,[],[],[],,{},Under Construction,
Swastik Divine,"3 BHK House for sale in Mulund East, Mumbai",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-swastik-divine-mulund-east-central-mumbai-suburbs-1150-sq-ft-r9-spid-F71192450,₹3.1 Cr,"₹31,827 /sqft","1,150 sqft",Super Built-up Area,3 BHK,3  Baths,"Situated in mulund east, central mumbai suburbs, swastik divine is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in central mumbai suburbs is your opportunity to be a part of this community. This property faces the north-East direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms . All in all, the flat is spread over a super...",,,,,,,,,,,,,,,,,[],[],[],,{},Under Construction,
Shyam Nivas,"3 BHK House for sale in Breach Candy, Cumbala Hill, Mumbai",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shyam-nivas-breach-candy-south-mumbai-1300-sq-ft-r5-spid-P74463327,₹6.99 Cr,"₹53,769 /sqft","1,300 sqft",Carpet Area,3 BHK,3  Baths,Spacious apartment overlooking the greens. Very quite and serene location,,,1300.0,3 Bedrooms,3 Bathrooms,No Balcony,,6.99 Crore,6th   of 7 Floors,South-West,Park/Garden,10+ Year Old,"Shyam Nivas Breach Candy, Cumbala Hill, Mumbai",Shyam Nivas,Semifurnished,P74463327,"[""Kemp's Corner"", 'Mahalakshmi Mandir', 'Saint Stephens', 'Axis bank ATM', 'Dr Satish wadhwa', 'The B.D.Petit Parsee General Hospital', 'Voras Nursing Home', 'Soonawala Clinic', 'Shetty Nursing Home Shetty Health Services Pvt. Ltd.', 'Zarah Medical & Comestic Skin Clinic', 'Aus Clinic and Lithotripsy Center', ""Dr Turners's Speciality Dental Centre"", 'Anudhiti Care', 'Apollo Spectra Hospitals', 'All India Institute of Physical Medicine and Rehabilitation', ""NH SRCC Children's Hospital Mumbai"", 'Dr. Sunil n. vasani', 'Infiniti Eye Hospital', ""Dr. Nilen Shah's Clinic"", 'Cheers Child Care Clinic', 'Gynaecworld', 'Bhatia Hospital', 'Fuel', 'Syndicate bank', 'Axis bank', 'Shobha', 'The Ghetto', 'Food Court', ""McDonald's"", 'Beyond Waffles', 'Kanishka', 'One Step Up - Bar and Grill', 'Cafe Noorani', 'Haji Ali Juice Centre', 'Maji Sagar', 'Balaji Fast Food', 'Koinonia Coffee Roasters', 'Calcutta', 'Sardar Pav Phaji', 'Swati snacks', 'Doolally Taproom', 'Local cheap good fastfood', 'Amar Restaurant', 'Bhausaheb Hiray Vidyalaya', ""Nagrik Shikshan Sanstha's College Of Commerce & Economics"", 'Bhausaheb Hiray College', 'The Golden Spiral School', 'National Medical College', 'My Happy Place', 'Swami Educational Society-Madurai Kamaraj University']","['2 Wardrobe', '4 Fan', '3 Geyser', '20 Light', '1 Modular Kitchen']","['Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'No open drainage around', 'Park', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Low Density Society', 'Waste Disposal']",3.9,"{'Environment': 4.0, 'Lifestyle': 3.9, 'Connectivity': 3.9, 'Safety': 3.9}",Ready To Move,
Gurukrupa Marina Enclave,"2 BHK House for sale in Jankalyan Nagar, Malad West",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-gurukrupa-marina-enclave-jankalyan-nagar-mumbai-andheri-dahisar-650-sq-ft-r6-spid-R72710959,₹1.5 Cr,"₹23,076 /sqft",650 sqft,Carpet Area,2 BHK,2  Baths,"Ready to move 2 bhk apartment for sale in marina atlantic & pacific, a popular residential project that houses in-Demand flats in jankalyan nagar, mumbai andheri-Dahisar. The flat is west-Facing. Constructed on a carpet area of 650 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms . The flat has a total of 35 floors and this property is situated on 20th floor. As the property is currently un...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
Dream Enclave,"1 BHK House for sale in Badlapur West, Thane",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-badlapur-west-mumbai-beyond-thane-670-sq-ft-spid-F80446935,₹28 Lac,"₹4,179 /sqft",670 sqft,Built-up Area,1 BHK,1  Bath,"Lotus dream enclave Rera no. Pphone_number Project at just 5-8 mins from badlapur station *1bhk, 2bhk semi-Furnished Booking amount 21000/- Facilities False ceiling Lift with power backup Cctv camera & wi-Fi zone Water & open free parking & security guards Location advantages near d-Mart, schools, collages, hospitals, banks, supermarkets. Address:- Near cinderella english school & jr college, b...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
Mahalaxmi CHS,"1 BHK House for sale in Worli, Mumbai",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-mahalaxmi-chs-worli-south-mumbai-550-sq-ft-spid-W68728228,₹3 Cr,"₹54,545 /sqft",550 sqft,Super Built-up Area,1 BHK,2  Baths,"We are the proud owners of this 1 bhk apartment available in mahalaxmi chs, worli, south mumbai. This it is a and the unit is located on 3rd floor and has a super built-Up area of 550 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
Le Reve,"1 BHK House for sale in Bandra West, Mumbai",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-bandra-west-western-mumbai-521-sq-ft-spid-A81764778,₹3.3 Cr,"₹63,339 /sqft",521 sqft,Carpet Area,1 BHK,1  Bath,"Situated in bandra west, western mumbai, le reve is a well planned society that offers a pleasant living experience to its residents. This 1 bhk flat in western mumbai is your opportunity to be a part of this community. Containing 1 bedroom(s), 1 bathroom , this flat is spread over a carpet area of 521 sq.Ft. The property is located on the 6th floor of a 9 floors tall building. This 0-1 year ol...",,,521.0,1 Bedroom,1 Bathroom,No Balcony,,3.3 Crore,6th   of 9 Floors,,,0 to 1 Year Old,"Le Reve Bandra West, Mumbai",,Semifurnished,A81764778,[],"['3 Fan', '1 Exhaust Fan', '1 Geyser', '1 Stove', '2 Light', '2 AC', '1 Modular Kitchen']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",4.4,"{'Environment': 4.1, 'Lifestyle': 4.5, 'Connectivity': 4.5, 'Safety': 4.3}",Ready To Move,
shraddha evoque wing chsl,"1 BHK House for sale in Bhandup West, Mumbai",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-bhandup-west-central-mumbai-suburbs-229-sq-ft-spid-Y81646789,₹50 Lac,"₹21,834 /sqft",229 sqft,Carpet Area,1 BHK,1  Bath,"We are the proud owners of this 1 rk east facing apartment available in shraddha evoque a wing chsl, bhandup west, central mumbai. This it is a and the unit is located on 11th floor and has a carpet area of 229 sq.Ft. . It has 1 bathroom(s). The ownership is freehold type.",,,229.0,1 Bedroom,1 Bathroom,No Balcony,,50 Lac,11st   of 22 Floors,East,"Club,Main Road,Park/Garden",1 to 5 Year Old,"shraddha evoque wing chsl Bhandup West, Mumbai",,Furnished,Y81646789,"['Sonapur Market', ""st stephen's church"", 'Ahle e Hadis Masjid', 'Vitthal Temple', 'Raza Masjid', 'Holy Angels Marthoma Syrian Church', 'Axis bank ATM', 'NAAZ Polyclinic', ""Dr Bothra's Hospital"", ""Dr. Malwankar's Romeen Nursing Home"", 'Sanjeevan Nursing Home and Iccu', 'Krishna Nursing Home Mumbai', 'Nadkarni Eye Care Centre', 'Amruta Maternity and Surgical Nursing Home', 'Mahek Nursing Home', 'Dr Hospital Bhandup', 'Lotus Multispeciality Hospital', ""Dr.Badwaik's Maternity and General Hospital"", 'Sai Siddhi Hospital Mumbai', 'Anil Cancer Clinic', 'Ashirwad Maternity and Nursing Home Mulund', 'Shivaani Mother and Child Care Hospital', 'Child Health Center and Polyclonic', 'Madhu Polyclinic and Nursing Home', 'Bhagwati Banquets', 'Khindipada', 'Bhandup sarvoday nagar momadhi manzil Rome no 2', 'PVR Cinemas', 'Sbi bank', 'Nkgsb bank', 'Bombay Bakery', 'Hotel Sainath', 'Rahat Hotel', 'Sagar Country Bar', 'Sudarshans', ""McDonald's"", 'Shanghai Restro', 'Secret Spice', 'Wat-a-Burger', 'Belstone', 'Starbucks', 'Farm Cafe', 'Coffee By Di Bella', 'Cafe Coffee Day', 'Mohammadi Urdu High School', 'Ideal High School', 'Madrassa Faizan e Taiba', 'Br. Nath Pai Vidyalaya', 'NES Ratnam College', 'NES Sunbeam School']","['1 Wardrobe', '1 Fan', '1 Exhaust Fan', '1 Light', '1 Modular Kitchen', '1 Curtains']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park']",4.2,"{'Environment': 3.9, 'Lifestyle': 4.1, 'Connectivity': 4.3, 'Safety': 4.1}",Ready To Move,
Regency Anantam,"1 BHK House for sale in Dombivli East, Thane",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-regency-anantam-dombivli-east-mumbai-beyond-thane-527-sq-ft-spid-X81730448,₹49.25 Lac,"₹9,345 /sqft",527 sqft,Carpet Area,1 BHK,2  Baths,"This beautiful 1 bhk flat in dombivli east, thane outskirts is situated in regency anantam, one of the popular residential society in thane outskirts. This is a north-East-Facing property. The flat occupies a carpet area of 527 sq.Ft. That consists of 1 bedroom, 2 bathrooms and 3 balconies. This flat is situated on the 22nd floor of this 23 floors tall residential building. This 0-1 year old pr...",,,527.0,1 Bedroom,2 Bathrooms,3 Balconies,,49.25 Lac,22nd   of 23 Floors,North-East,"Park/Garden,Club,Sea facing,Pool",0 to 1 Year Old,"Regency Anantam Dombivli East, Thane",Regency Anantam,Semifurnished,X81730448,"['Thakurli', 'Dombivli', 'Kalyan', 'Kbvr school', 'NES International', 'Saraswati College', 'SRV Mamata Hospital', 'HDFC Bank']","['1 Water Purifier', '3 Fan', '1 Exhaust Fan', '1 Geyser', '5 Light', '2 AC']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",3.9,"{'Management': 3.4, 'Amenities': 4.1, 'Green Area': 3.9, 'Construction': 3.7, 'Connectivity': 4.0}",Ready To Move,
Galaxy Orion,"2 BHK House for sale in Sector 35I Kharghar, Navi Mumbai",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-35i-kharghar-navi-mumbai-1120-sq-ft-r4-spid-Q70995066,₹95 Lac,"₹8,482 /sqft","1,120 sqft",Built-up Area,2 BHK,2  Baths,"Galaxy orion is one of navi mumbai's most sought after destination for apartments and this 2 bhk flat in sector 35i kharghar is your opportunity to be a part of this community. This property faces the east direction. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a built up area of 1120 sq.Ft. This flat is situated on the 12th floor of this 21 floors tall residen...",,1120.0,,2 Bedrooms,2 Bathrooms,2 Balconies,,95 Lac,3rd   of 21 Floors,East,Others,5 to 10 Year Old,"Galaxy Orion Sector 35I Kharghar, Navi Mumbai",,Unfurnished,Q70995066,"['Ganesh Temple', 'Ganpati Mandir', 'Hdfc ATM', 'Advanced Key Physiotherapy', 'Al Shifa Multi Speciality Hospital', 'Ayesha Hospital', 'Dr. Nitin Amale Hospital', 'Sri Sai Clinic', 'Suman Kanta Hospital', ""Raghunath Children's Clinic"", 'Sabka Dentist', 'Pooja Eye Clinic', 'Kalpataru Hospital & Maternity Clinic', 'Polaris Hospital', 'Shree Sai Multispeciality Hospital', 'Gayatri Gynac Clinic', ""Children's Hospital"", ""Saanvi Children's Hospital"", 'Bank of india', 'Bank of baroda', 'State bank of mysore', 'State bank of india', 'Uco bank', 'Nice Moment Family Restaurant', 'Baugban Restaurant', 'RR MUMBAI EVENTS AND CATERERS', ""Smokin' Joe's Pizza"", 'alpha quick bites fast food', 'Hotel Tulsi', 'Army Canteen', 'Hotel Basera', 'Taloje panchanand railway station']",[],"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'False Ceiling Lighting', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",3.8,"{'Environment': 3.9, 'Lifestyle': 3.7, 'Connectivity': 3.9, 'Safety': 3.9}",Ready To Move,
Indiabulls Blu,"3 BHK House for sale in Worli, Mumbai",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-blu-worli-south-mumbai-1780-sq-ft-spid-I81686612,₹10 Cr,"₹56,179 /sqft","1,780 sqft",Super Built-up Area,3 BHK,3  Baths,"This unique development is in a vibrant location of worli, with spectacular views of the arabian sea. It is set in 10 acres and is the last time a development of this size will be created in south mumbai. It is the most privileged residential development in mumbai. This unique development is in a vibrant location of worli, with a brilliant view of the arabian sea. It has a wide spread of five a...",1780.0,1700.0,1300.0,3 Bedrooms,3 Bathrooms,No Balcony,Store Room,10 Crore,20th   of 56 Floors,North-East,"Pool,Park/Garden",5 to 10 Year Old,"Indiabulls Blu Worli, Mumbai",Indiabulls Blu,Semifurnished,I81686612,"['Lower Parel Railway Station', 'Phoenix Palladium Mall', 'Eastern Express Hwy', 'Podar ORT International School', 'M D College of Arts, Science & Commerce', 'M. A. Podar Hospital', 'CSM Intl Airport', 'Peninsula Corporate Park', 'Four Seasons Hotel Mumbai', 'Sardar Vallabhbhai Patel Stadium']","['4 Fan', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '12 Light', '1 Modular Kitchen', '1 Chimney', '3 AC', '1 Curtains']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",4.0,"{'Management': 4.1, 'Amenities': 4.0, 'Green Area': 4.1, 'Construction': 4.0, 'Connectivity': 3.7}",Ready To Move,
